,MLP,LSTM,BuyAndHold
2015-06-29,1.0034903980558358,1.0034903980558358,1.0
2015-06-30,0.9964606997416587,0.9964606997416587,0.9965096019441642
2015-07-01,0.9942945138830543,0.9986268856002632,1.0034903980558358
2015-07-02,1.025488119108997,1.0299564085961943,1.0013089304775586
2015-07-06,1.0273333061763867,1.0281031816209583,0.9698952647573819
2015-07-07,1.0444632825760845,1.0109603681525927,0.9681501073382909
2015-07-08,1.0210083432286285,1.0336629509176056,0.9520069643190162
2015-07-09,1.0690612322696142,1.0823114183034388,0.9733856628132177
2015-07-10,1.076383562302497,1.0748983336606157,1.0191972309159243
2015-07-13,1.0805023838571262,1.070785195388376,1.026178027027596
2015-07-14,1.0786717577043758,1.0725993583295612,1.0301047352426183
2015-07-15,1.0644847541767977,1.0584922207581797,1.0283594946058734
2015-07-16,1.060472955042514,1.062481435407071,1.0418847766700305
2015-07-17,1.06493052853011,1.0580154195082085,1.0379581516726624
2015-07-20,1.0600271806892017,1.0628869275398678,1.0423210868292168
2015-07-21,1.0627018268090764,1.0655687893339794,1.0375218415134762
2015-07-22,1.0649418892922735,1.067814895069414,1.0349039805583589
2015-07-23,1.0757397688385546,1.0786419051913905,1.0327225129800817
2015-07-24,1.0844632484768026,1.0873889190784547,1.022251318812574
2015-07-27,1.0676643054819464,1.0705446558076668,1.0139615922233436
2015-07-28,1.064045107956454,1.074173617223099,1.029668425083432
2015-07-29,1.062687876526216,1.0755437679657,1.026178027027596
2015-07-30,1.0599734999542156,1.0727965541596385,1.0248690965500373
2015-07-31,1.058623270140381,1.074163118410224,1.0274868742875007
2015-08-03,1.0518718635248292,1.0810136309469973,1.026178027027596
2015-08-04,1.0451204569092774,1.0740751788098515,1.0196335410751105
2015-08-05,1.0468978285457584,1.0722485656710075,1.026178027027596
2015-08-06,1.0406769006873962,1.0786201339285686,1.0279231844466872
2015-08-07,1.0286793243144527,1.0661851241520908,1.0218150086533877
2015-08-10,1.0221659641304663,1.0729359624087447,1.033595133298454
2015-08-11,1.0134814286705724,1.0820518503748058,1.0270506473459684
2015-08-12,1.0160867561797933,1.084833449891516,1.0183246105975519
2015-08-13,1.0152138927081364,1.0839015299688493,1.0157068328600884
2015-08-14,1.0125996311899261,1.0866926679543312,1.016579369960807
2015-08-17,1.0173925132282078,1.0918362504808723,1.0139615922233436
2015-08-18,1.022230898916082,1.0970286662094555,1.009162263689949
2015-08-19,1.0497627843468025,1.1265750901967568,1.0043630183742083
2015-08-20,1.0731949897535917,1.1014283243623324,0.9773123710282399
2015-08-21,1.1099482434675392,1.0637081756106956,0.955497362374852
2015-08-24,1.094204236409332,1.0787962926677297,0.9227748493947705
2015-08-25,1.109507752700034,1.0938843137974648,0.9358639045173954
2015-08-26,1.1253213991734108,1.1094752817551643,0.9489528764223666
2015-08-27,1.114608957229396,1.0989136861498094,0.9624781584865238
2015-08-28,1.1181797712107342,1.095393154281358,0.9533158947965749
2015-08-31,1.153604225525876,1.0606905905702084,0.9502618068999252
2015-09-01,1.1333656134739956,1.0792991435683952,0.9201570716573071
2015-09-02,1.1360062201096854,1.0767845053558722,0.9363001314589278
2015-09-03,1.10947641562099,1.0516377395214478,0.9341186638806506
2015-09-04,1.0712735335904107,1.0878490477891913,0.9123036552272629
2015-09-08,1.067311360484505,1.0838255690927754,0.9437172377297858
2015-09-09,1.079693163248667,1.0963989520099875,0.9402268396739499
2015-09-10,1.074740517715529,1.0913696755849418,0.9511343440006438
2015-09-11,1.0891034542654727,1.0767845053558722,0.9467714088440893
2015-09-14,1.0809644356881543,1.0848314627487041,0.9341186638806506
2015-09-15,1.071943854739573,1.0938843137974648,0.9410994599923224
2015-09-16,1.0758866329738874,1.0979077924938807,0.9489528764223666
2015-09-17,1.0413872529211996,1.062702281954767,0.9524432744782024
2015-09-18,1.0423728769773422,1.0616964842261372,0.9219022290763981
2015-09-21,1.069037125751102,1.0345379310798553,0.9210296919756795
2015-09-22,1.0773524285967844,1.0264909736870234,0.8974694426855468
2015-09-23,1.0810473987968683,1.0229704418185717,0.890488646573875
2015-09-24,1.0688231900951088,1.034537931079855,0.8874345586772254
2015-09-25,1.0454411181696168,1.0119058993852523,0.8974694426855468
2015-09-28,1.04128429877577,1.0159293780816683,0.8778359848280902
2015-09-29,1.0242732232226068,1.0325262396952963,0.8813263828839261
2015-09-30,1.026767761848511,1.0350408779078193,0.8957242852664559
2015-10-01,1.0497179168811348,1.0581759523576852,0.8979057528447331
2015-10-02,1.0686766578554336,1.0772874521838363,0.9179756040790298
2015-10-05,1.0731669035105003,1.0818138777082167,0.9345549740398368
2015-10-06,1.0901300326161856,1.0989136861498092,0.9384816822548588
2015-10-07,1.093622424756671,1.1024342180182607,0.9533158947965749
2015-10-08,1.0946202782712522,1.1034401116741894,0.9563699826932245
2015-10-09,1.0901300326161856,1.098913686149809,0.9572426030115969
2015-10-12,1.1090888687510334,1.079802090396359,0.9533158947965749
2015-10-13,1.1044396758952593,1.0843285159207394,0.936736441618114
2015-10-14,1.0900962679514086,1.0984107393218447,0.9406631498331361
2015-10-15,1.0980823135245845,1.1064576967146766,0.9528795846373886
2015-10-16,1.0935901509895265,1.1019312711902964,0.9598603807490604
2015-10-19,1.0910945474483487,1.0994166329777735,0.9559336725340383
2015-10-20,1.1045710350535227,1.0858373564046324,0.9537522049557611
2015-10-21,1.0922923507680655,1.0979077924938805,0.9419720803106948
2015-10-22,1.0992974017510995,1.1049488562307836,0.9524432744782024
2015-10-23,1.09479412742296,1.1004224307064034,0.9585514502715018
2015-10-26,1.0892901996948599,1.0948902074533933,0.9546247420564796
2015-10-27,1.0852872997850316,1.0989136861498092,0.949825496740739
2015-10-28,1.1011816521266609,1.0828197713641454,0.9533158947965749
2015-10-29,1.1032275542558836,1.080807984052288,0.9393543025732314
2015-10-30,1.0878264592188647,1.095896101109322,0.9376090619364864
2015-11-02,1.0783410255552843,1.0863403032325971,0.9506981170591114
2015-11-03,1.086827972470922,1.077790399011801,0.942408390469881
2015-11-04,1.095956734203655,1.0687375479630403,0.934991284199023
2015-11-05,1.0897677587745758,1.0747728139713135,0.9271378677689788
2015-11-06,1.0969071548280345,1.0677316543071114,0.9323735064615596
2015-11-09,1.1036239241469803,1.0611935373981725,0.9262652474506063
2015-11-10,1.0989165156267366,1.0657199629225527,0.9205933818164933
2015-11-11,1.0828397992326557,1.0501288990375544,0.9245200900315154
2015-11-12,1.0921745423743883,1.0410761439160927,0.9109947247497042
2015-11-13,1.0816221921072624,1.0511347926934833,0.9031413915373139
2015-11-16,1.0821397265418162,1.0506318458655188,0.9118673450680767
2015-11-17,1.0930181574897657,1.0611935373981725,0.9114310349088904
2015-11-18,1.1018244687127319,1.0697434416189686,0.9205933818164933
2015-11-19,1.0868018971189222,1.0551582713898988,0.9280104880873512
2015-11-20,1.093018058685659,1.0491231013089242,0.9153577431239125
2015-11-23,1.0951140185013866,1.0471113139970667,0.9101221876489856
2015-11-24,1.0872241680004184,1.0546553245619343,0.9083769470122407
2015-11-25,1.0913718958659135,1.0586788032583503,0.9149214329647263
2015-11-27,1.0898165597223732,1.057170058701756,0.9184118310205621
2015-11-30,1.1089997640166755,1.0757786116999428,0.9171029837606574
2015-12-01,1.0908535164111552,1.0581759523576848,0.9332460435622781
2015-12-02,1.095001343166283,1.05415237773397,0.9179756040790298
2015-12-03,1.0808958624019376,1.067731654307111,0.9144851228055401
2015-12-04,1.0732588407096535,1.0601876437422433,0.9262652474506063
2015-12-07,1.0941334119865633,1.039567303432199,0.9197207614981209
2015-12-08,1.097309387804009,1.0365497183917118,0.9018324610597552
2015-12-09,1.1010362834856837,1.0330291865232601,0.8992146833222917
2015-12-10,1.1246222879237013,1.010900005729323,0.8961605954256421
2015-12-11,1.1274199197822607,1.0083852715895012,0.8769633645097178
2015-12-14,1.1144868411933313,1.0199528567780836,0.8747818137137867
2015-12-15,1.1381173904974122,1.0415789948167575,0.884816780939762
2015-12-16,1.128225583839519,1.0325262396952957,0.9035776184788462
2015-12-17,1.1172345477952537,1.0224674949906063,0.8957242852664559
2015-12-18,1.1238291903854707,1.0164322289823329,0.8869982485180392
2015-12-21,1.1127076314704378,1.0264909736870222,0.8817626098254585
2015-12-22,1.128517834030611,1.0410761439160918,0.890488646573875
2015-12-23,1.1317888709800161,1.044093728956579,0.9031413915373139
2015-12-24,1.1263370734080809,1.0390643566042344,0.9057591692747773
2015-12-28,1.1192497053692483,1.045602569440472,0.901396150900569
2015-12-29,1.1074057279469605,1.034537931079854,0.9070680997523359
2015-12-30,1.1208647185203244,1.0219645481626418,0.8974694426855468
2015-12-31,1.144032202494925,1.0008412610246333,0.886561938358853
2016-01-04,1.152080635316919,0.9938001972877301,0.8682373277613011
2016-01-05,1.1742360941683525,0.97468860153428,0.8621291519680018
2016-01-06,1.200895655119838,0.9525595166676418,0.845549698789541
2016-01-07,1.2142108225716848,0.9419978251349881,0.8263525510912706
2016-01-08,1.2057832354008766,0.9485360379712258,0.8171902041836677
2016-01-11,1.1968326038239196,0.9555771017081289,0.8228621530354346
2016-01-12,1.1754155897227463,0.9384772932665364,0.828970328828734
2016-01-13,1.165337008986448,0.9465242506593684,0.814136116287018
2016-01-14,1.11827768869338,0.9083011550797674,0.8211169123986898
2016-01-15,1.126946470448871,0.9012600913428642,0.787958089259422
2016-01-19,1.1602769615542126,0.8746044850245467,0.7818499134661226
2016-01-20,1.1516031691674609,0.8811426978607845,0.7587259743351762
2016-01-21,1.1193951055506042,0.9057865168672447,0.7643979231869432
2016-01-22,1.0883180624821793,0.8806397510328202,0.7857766216811447
2016-01-25,1.0628348966500318,0.9012600913428644,0.763961613027757
2016-01-26,1.0468211741388174,0.8876808147697235,0.7818499134661226
2016-01-27,1.0468211741388174,0.8876808147697235,0.7700697888210564
2016-01-28,1.0242833173175196,0.9067924105231734,0.7700697888210564
2016-01-29,1.0157617391323488,0.899248304031007,0.7866492419995171
2016-02-01,1.0560967468883224,0.8635399425912277,0.7801046728293778
2016-02-02,1.0524062844238362,0.8665575276317149,0.749127400486041
2016-02-03,1.0365255019458022,0.8796338573768916,0.7517451782235045
2016-02-04,1.0205242232910574,0.8660545808037506,0.7630889927093846
2016-02-05,1.0590457321348852,0.8333638044044587,0.7513088680643183
2016-02-08,1.085250234040421,0.8127434640944144,0.722949373458445
2016-02-09,1.0563728865010769,0.8343696980603874,0.7050610730200794
2016-02-10,1.0181676948768892,0.8041935598736183,0.7238219937768174
2016-02-11,0.9831462186168187,0.8318550598478646,0.6976439667492214
2016-02-12,1.0009783286034102,0.8469430809775996,0.7216405261985401
2016-02-16,1.0283209123660226,0.8700780595001668,0.7347294981035113
2016-02-17,1.008705546031256,0.8534811978865386,0.7547992661201541
2016-02-18,1.0039503091432456,0.8494577191901227,0.7404013637376244
2016-02-19,0.9920621602363244,0.859516463894812,0.7369109656817885
2016-02-22,0.9717448909897344,0.841913708625255,0.7456370024302051
2016-02-23,0.9821937786434214,0.8328608575764944,0.7303664797293029
2016-02-24,0.9626210804266437,0.8494577191901226,0.7225130632992588
2016-02-25,0.9694603546533649,0.855492985198396,0.7369109656817885
2016-02-26,0.9637609775821933,0.8504636128460513,0.7421466043743693
2016-02-29,0.9916878056537005,0.8751074318525114,0.7377835860001609
2016-03-01,1.013915365360612,0.8947219744339258,0.7591622844943625
2016-03-02,1.0287335935564519,0.9077982082518035,0.7761780478320095
2016-03-03,1.028163753685253,0.907295357351138,0.7875217791002358
2016-03-04,1.0230343251918563,0.9027689318267577,0.7870855521587033
2016-03-07,1.0327232336008754,0.8942190276059614,0.7831588439436813
2016-03-08,1.028657411981181,0.897739559474413,0.7757417376728233
2016-03-09,1.0373015697457768,0.9052835700392806,0.778795825569473
2016-03-10,1.0839801096077366,0.9460213038314047,0.7853403115219585
2016-03-11,1.077064827362632,0.9399861337504302,0.8206806022395036
2016-03-14,1.065539210398885,0.9299273890457409,0.8154450467645766
2016-03-15,1.0626577511997335,0.9324421231855627,0.8067190100161601
2016-03-16,1.0632309345983468,0.9319391763575985,0.8089005608120912
2016-03-17,1.0603620337036261,0.9344538145701214,0.808464250652905
2016-03-18,1.0546550041933038,0.9294244422177768,0.8106457182311821
2016-03-21,1.0649276355413775,0.9203715911690161,0.8062826998569739
2016-03-22,1.0847131860153831,0.9032717827274236,0.7984292834269296
2016-03-23,1.0992082266413936,0.8912013466381757,0.7835950708852136
2016-03-24,1.0948658823994,0.8947219744339261,0.773123876717706
2016-03-28,1.0825571745727358,0.9047806232113166,0.7761780478320095
2016-03-29,1.083760712055908,0.9057865168672453,0.7849040013627723
2016-03-30,1.0777431394156982,0.9007571445149006,0.7857766216811447
2016-03-31,1.0879729784713597,0.8922072402941044,0.7814136033069364
2016-04-01,1.0934925802378344,0.887680814769724,0.7739964970360784
2016-04-04,1.1219914808983733,0.864545836247157,0.7700697888210564
2016-04-05,1.10697940882261,0.8761133255084405,0.7500000208044134
2016-04-06,1.1393881200392815,0.8504636128460517,0.760034904812735
2016-04-07,1.1097410836205963,0.8725927936399888,0.7377835860001609
2016-04-08,1.1180560926331018,0.8791309105489276,0.7569808169160852
2016-04-11,1.1321278152667043,0.8901955489095457,0.7626526825501984
2016-04-12,1.1756218868674708,0.924395069865432,0.7722513396169874
2016-04-13,1.1743427391717665,0.9233892721368021,0.8019196814827655
2016-04-14,1.1743427391717665,0.9233892721368021,0.8010471443820469
2016-04-15,1.1832973830310607,0.9304303358737054,0.8010471443820469
2016-04-18,1.200567157900733,0.9440096124468463,0.8071553201753463
2016-04-19,1.212719853996097,0.9535653143962723,0.8189354448204126
2016-04-20,1.2146387585364629,0.9550741548801654,0.8272250881919891
2016-04-21,1.21591802823004,0.9560800485360942,0.8285340186695478
2016-04-22,1.20504447983038,0.9475301443152979,0.8294066389879202
2016-04-25,1.183937017877849,0.9641270059289262,0.8219895327170622
2016-04-26,1.1808490707006951,0.9616123677164032,0.836387435099592
2016-04-27,1.172202606568923,0.9545712080522012,0.8342059675213147
2016-04-28,1.180848952903061,0.947530144315298,0.8280977085103616
2016-04-29,1.1770883209519474,0.9505477293557854,0.8219895327170622
2016-05-02,1.211342167065347,0.922886325308838,0.8246073104545256
2016-05-03,1.226525171867785,0.9113188360475545,0.8006108342228607
2016-05-04,1.2441243336031687,0.8982425063023779,0.7905759502145393
2016-05-05,1.2385515537393532,0.9022659849987937,0.7792321357286592
2016-05-06,1.2454554346845477,0.897236612646449,0.7827225337844951
2016-05-09,1.2293985861754047,0.9088041019077325,0.7783595154102867
2016-05-10,1.2144308579316103,0.8977395594744133,0.7883943994186082
2016-05-11,1.2178327028282323,0.8952248253345916,0.778795825569473
2016-05-12,1.2315161386319602,0.8851661765572011,0.7766142747735418
2016-05-13,1.2182213250541716,0.8947219744339261,0.7678883212427791
2016-05-16,1.2250691379237957,0.8896926020815815,0.7761780478320095
2016-05-17,1.209141193750597,0.901260091342865,0.7718150294578012
2016-05-18,1.211165471982151,0.9027689318267581,0.7818499134661226
2016-05-19,1.2206118463350062,0.9098099955636614,0.7831588439436813
2016-05-20,1.2165634185690966,0.906792410523174,0.7892670197369807
2016-05-23,1.2563733229092695,0.9364656018819788,0.7866492419995171
2016-05-24,1.2840378152545153,0.9570859421920229,0.812390958867927
2016-05-25,1.2826882964334794,0.9560800485360942,0.8302792593062926
2016-05-26,1.2806640182019255,0.9545712080522012,0.8294066389879202
2016-05-27,1.263795419030571,0.941997825134989,0.8280977085103616
2016-05-31,1.2678438467964805,0.9389802400945018,0.8171902041836677
2016-06-01,1.2692020394694938,0.937974346438573,0.8145724264462042
2016-06-02,1.2746463326813955,0.933950867742157,0.8136998061278318
