model,total_return,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,n_days
MLP,-0.41841427486637306,-0.04828215861577656,0.18002143685736244,-0.26820227334388114,-0.5531452075184744,0.49130434782608695,2760
LSTM,0.13528486105396698,0.011652390484941044,0.18002514201437553,0.06472646184059429,-0.48536039223042127,0.4692028985507246,2760
BuyAndHold,2.3966977189984346,0.11816367179906528,0.17988573737913982,0.6568818268788883,-0.33903145030864157,0.5418629938383472,2759
