feature,importance
SMCbi_14_50_20_5,0.057912889694657355
SMCbp_14_50_20_5,0.048387099774579605
SMCtp_14_50_20_5,0.04559441844482683
SMCti_14_50_20_5,0.04225548222064694
BOP,0.027092543107681045
CFO_9,0.022743668604295796
SMCbf_14_50_20_5,0.02217239488610803
BBP_5_2.0_2.0,0.019460557587503886
AROONU_14,0.01815711197074839
STOCHh_14_3_3,0.01472119346604501
THERMO_20_2_0.5,0.013138698839374609
SMCtf_14_50_20_5,0.012363532258745246
BULLP_13,0.012185605751433522
AOBV_SR_2,0.011403663993942726
BEARP_13,0.010517017817867763
CRSI_3_2_100,0.00992637900304265
AOBV_LR_2,0.009918270373464528
STOCHFk_14_3,0.009638742422655179
PCTRET_1,0.008229790114904222
J_9_3,0.007012953841459657
LOGRET_1,0.006855047088236038
SLOPE_1,0.0067876035605925235
EXHC_DNa,0.0061439160473931815
PGO_14,0.006138904814716229
FISHERTs_9_1,0.005992483276630872
DMP_14,0.0059451521145584135
WILLR_14,0.0058615280403712345
SMIo_5_20_5_1.0,0.005754332839165167
BBB_5_2.0_2.0,0.0056088326565766735
DMN_14,0.00556723746638175
ZS_30,0.005458184464739374
RVI_14,0.005447193733954962
Volume,0.005239988376848142
TSVr_18_10,0.005050134360160711
STOCHFd_14_3,0.004931033053668323
PVOh_12_26_9,0.004838900425193471
ADOSC_3_10,0.0047337614333292245
DPO_20,0.004726130886586975
RSI_14,0.00471118987649162
STOCHk_14_3_3,0.004663771221116297
TRUERANGE_1,0.0046325993273951
VTXM_14,0.004620892813647153
ROC_10,0.004505087392017338
AR_26,0.004477286017940572
CCI_14_0.015,0.004466890986870876
EXHC_UPa,0.0044647816840574055
RWIh_14,0.00445988354757157
KVO_34_55_13,0.004456012093946915
EFI_13,0.00444723764258687
STOCHRSIk_14_14_3_3,0.004440542107704766
SKEW_30,0.0044387029957858965
STOCHd_14_3_3,0.0044126502515535815
CHOP_14_1_100.0,0.004383795832096515
UO_7_14_28,0.004381401721930693
BR_26,0.004372173723093533
CMF_20,0.004358367268388266
CG_10,0.004296361113910794
VHM_610,0.0042776955465224815
ADX_14,0.004268919086152612
ER_10,0.004262683251533772
PDIST,0.004239274095275249
QS_10,0.004239005218371004
AROOND_14,0.004230731935314484
ADXR_14_2,0.004226920411200563
TMOs_14_5_3,0.004184860654286282
KURT_30,0.004183582585186528
INERTIA_20_14,0.00415622403177143
TRIX_30_9,0.0041415027557130946
PVOL,0.004115186803478835
MFI_14,0.0041143760810126735
MASSI_9_25,0.0040975504363963315
RWIl_14,0.004052824467521619
RVGI_14_4,0.004030644172610588
MACDh_12_26_9,0.004022812878492814
VTXP_14,0.004019559517602437
VHF_28,0.0039625391116848265
STOCHRSId_14_14_3_3,0.003956591847241265
AMATe_SR_8_21_2,0.0039462371549041095
PVO_12_26_9,0.003945317773379511
PVIe_255,0.0039449706413469295
TMO_14_5_3,0.003944626936861458
CTI_12,0.0038951252654367873
KVOs_34_55_13,0.003874949698002241
TRIXs_30_9,0.0038662522654108866
FISHERT_9_1,0.0038431737105424535
EOM_14_100000000,0.0038250707162924033
BIAS_SMA_26,0.0038242378006316255
CMO_14,0.003808163145053888
PVI,0.003801098861270331
ENTP_10,0.003744942893612362
RVGIs_14_4,0.0037153118295377477
TSV_18_10,0.0036537728892581216
THERMOma_20_2_0.5,0.003601625046397869
K_9_3,0.0035912558808706627
PVOs_12_26_9,0.0034710640509468707
RSX_14,0.0034693616320947158
PPOh_12_26_9,0.0034379912229393792
STDEV_30,0.003427499473773194
UI_14,0.0033501643449341174
TRENDFLEX_20_20_0.04,0.0033344465770276653
KSTs_9,0.003333554167059189
D_9_3,0.0033271780792317345
KST_10_15_20_30_10_10_10_15,0.0033208658834343375
HWW_1,0.003292478431608724
MAD_30,0.003253574102284894
TSIs_13_25_13,0.003163740514912475
PVT,0.0031366739713244805
MOM_10,0.0031352871951610293
MACD_12_26_9,0.0031300845178939118
TSVs_18_10,0.0031283330765251353
NATR_14,0.003125841989132388
QQE_14_5_4.236_RSIMA,0.0031226845439196343
STC_10_12_26_0.5,0.0031152933556647337
QQEs_14_5_4.236,0.00310039436579522
VAR_30,0.0030729663384264404
APO_12_26,0.0030686978725946745
COPC_11_14_10,0.0030557458989256352
ABER_ATR_5_15,0.0030506272638982906
PPOs_12_26_9,0.0030489916824892583
QQEl_14_5_4.236,0.0030044888412179807
PPO_12_26_9,0.002999146618058845
SQZ_20_2.0_20_1.5,0.00297720611974858
TSI_13_25_13,0.002973006910045444
SMIs_5_20_5_1.0,0.0029625699030249534
STCstoch_10_12_26_0.5,0.002957361197678735
ATRr_14,0.0029481633640728805
AO_5_34,0.002934296461895186
THERMOs_20_2_0.5,0.002934108836401153
STCmacd_10_12_26_0.5,0.0028893818203092245
QQE_14_5_4.236,0.00285837007272021
SQZPRO_20_2.0_20_2.0_1.5_1.0,0.002687170273897094
SMI_5_20_5_1.0,0.0026060801828596296
OBV,0.002593038689391386
AROONOSC_14,0.0025722918145335426
MACDs_12_26_9,0.0025347409486511556
OBVe_12,0.0024910083247983356
OBVe_4,0.002414240958686993
OBV_max_2,0.002291531678512202
OBV_min_2,0.0021418547509435273
ICS_26,0.0021039455186491547
PVR,0.002025032237364816
AD,0.0018113941606529116
PSARaf_0.02_0.2,0.0018014900474851432
TOS_STDEVALL_L_1,0.0016638313638124105
PSL_12,0.0016094792536248894
TOS_STDEVALL_U_1,0.0016054844746953103
ISA_9,0.0015846532485825255
TOS_STDEVALL_L_2,0.0015414788261412268
NVI_1,0.0014982652029013992
TOS_STDEVALL_LR,0.0014893947934706993
PIVOTS_TRAD_D_S2,0.0014260373380879535
TOS_STDEVALL_U_2,0.00138297319639783
PIVOTS_TRAD_D_R3,0.0013321360417776257
TOS_STDEVALL_L_3,0.001328959156905549
ISB_26,0.001289310762684822
PIVOTS_TRAD_D_S1,0.0012579207663427146
PIVOTS_TRAD_D_S4,0.0012471846013222018
TOS_STDEVALL_U_3,0.0012412325911713162
PIVOTS_TRAD_D_S3,0.0012235603534465772
ACCBU_20,0.0011845817793450654
HWU_1,0.0011808001224978915
BBL_5_2.0_2.0,0.00111500848797465
WCP,0.0011127540892330327
PIVOTS_TRAD_D_R4,0.0011082835237538845
CHDLREXTs_22_22_14_2.0,0.0010773834869346824
Adj Close,0.001062954633176796
PIVOTS_TRAD_D_P,0.0010607453357874186
VIDYA_14,0.0010434139559294799
AMATe_LR_8_21_2,0.0010403304426873346
LDECAY_1,0.0010284049140614213
Open,0.0010170864468986914
High,0.0010040777539034442
Close,0.0010034689343177477
SINWMA_14,0.0010014129492046853
SSF3_20,0.00098624687972407
HILO_13_21,0.0009854714318640065
HWMA_0.2_0.1_0.1,0.0009760770134755085
PIVOTS_TRAD_D_R1,0.0009659845357347954
MAMA_0.5_0.05,0.0009643648958285594
KAMA_10_2_30,0.000958918540219628
ALMA_9_6.0_0.85,0.0009552739965429556
HWL_1,0.0009399593866591735
QTL_30_0.5,0.0009392846183113056
JMA_7_0.0,0.0009266412897943015
LINREG_14,0.0009231062651851676
ACCBM_20,0.0009188919505347127
CKSPl_10_3_20,0.0009152737125777744
TRIMA_10,0.0009122604854861806
HL2,0.0009103748479836084
HT_TL,0.0009059998960512476
HLC3,0.0009005913737066199
Low,0.000898352131683479
SMMA_7,0.0008906009158120168
SUPERT_7_3.0,0.000883949287347448
PIVOTS_TRAD_D_R2,0.0008835974531394546
HWM_1,0.0008797618984412343
SWMA_10,0.0008774249821934528
ZL_EMA_10,0.0008671416830738751
CKSPs_10_3_20,0.0008669362429823544
ACCBL_20,0.0008627323726818201
BBU_5_2.0_2.0,0.0008614900610034158
OHLC4,0.0008614579888141562
ABER_XG_5_15,0.0008593375423748314
KCUe_20_2,0.0008547541191710789
VWAP_D,0.0008518314662838761
KCBe_20_2,0.0008516572587683159
MIDPRICE_2,0.000850578121562926
RMA_10,0.0008492404224496852
PSARs_0.02_0.2,0.0008247054855778842
CHDLREXTl_22_22_14_2.0,0.0008203826962593213
VWMA_10,0.0008190823379979693
PWMA_10,0.0008118311315473732
T3_10_0.7,0.0007990258788073209
HMA_10,0.0007942118548119669
SUPERTs_7_3.0,0.0007863496378633938
WMA_10,0.0007750825266548972
KCLe_20_2,0.0007737903907783422
MEDIAN_30,0.0007685473809314689
ABER_ZG_5_15,0.0007631443006717102
MCGD_10,0.0007617959206529786
SMA_10,0.0007598004865679035
INC_1,0.000754666115241184
DCU_20_20,0.0007487802618541225
AGt_13_8_5,0.0007481391085263994
