feature,importance
SMCbi_14_50_20_5,0.04521648783449048
SMCtp_14_50_20_5,0.03893735852368966
SMCbp_14_50_20_5,0.034381523405367015
SMCti_14_50_20_5,0.03238948661909641
CRSI_3_2_100,0.02791171338400267
BOP,0.027260264944581013
SLOPE_1,0.025882018454885736
BBP_5_2.0_2.0,0.023681605155046172
LOGRET_1,0.022539604574749583
THERMO_20_2_0.5,0.021122733517565176
PCTRET_1,0.01977948989373456
CFO_9,0.019337163583621773
SMCbf_14_50_20_5,0.01449245251293631
INC_1,0.014482137364961614
SMCtf_14_50_20_5,0.012763607037437017
PVR,0.010926844764067665
THERMOs_20_2_0.5,0.010467354874866735
DEC_1,0.01004356795335289
AROONU_14,0.009893825474531374
BULLP_13,0.008668399986955056
BEARP_13,0.008495773370068911
STOCHh_14_3_3,0.007984327891227778
WILLR_14,0.006217797626352832
PDIST,0.005636714632828835
DMP_14,0.005631910556503168
SMIo_5_20_5_1.0,0.00542071009318472
PVI,0.0053643637430162375
PGO_14,0.005357706435209028
STOCHFk_14_3,0.005135072201694913
TRUERANGE_1,0.004955577769539846
TSVr_18_10,0.004916138678730314
DMN_14,0.00491280321153103
J_9_3,0.004841251557321577
ADOSC_3_10,0.004793768376023323
STOCHRSIk_14_14_3_3,0.004521358104175854
DPO_20,0.004451178372183733
VHF_28,0.004441479057683758
KVO_34_55_13,0.004408652491695186
RVI_14,0.004396110970858716
PVO_12_26_9,0.004363006884061646
RVGI_14_4,0.004293587545649699
VTXM_14,0.0042741536109315685
EFI_13,0.004262850175084521
STOCHFd_14_3,0.004211053996303102
FISHERTs_9_1,0.004205391277305873
STOCHk_14_3_3,0.004166353739688155
VTXP_14,0.004131398071032437
BBB_5_2.0_2.0,0.004113217897328953
PVOh_12_26_9,0.003988057537216934
RVGIs_14_4,0.003983892704480812
ER_10,0.003975943175294355
Volume,0.00397567886739696
CMF_20,0.003974006178994193
QS_10,0.0039227095039321295
MFI_14,0.003914149938170284
KURT_30,0.0038962958119806886
ZS_30,0.003894232957655369
CHOP_14_1_100.0,0.0038926384706402164
