feature,importance
SMCti_14_50_20_5,0.03885193334547202
SMCbi_14_50_20_5,0.0379686603788015
SMCbp_14_50_20_5,0.03540897867050136
SMCtp_14_50_20_5,0.03434410766846347
CRSI_3_2_100,0.029579518348270065
SLOPE_1,0.024315041251192774
PCTRET_1,0.02325744907821919
THERMO_20_2_0.5,0.021693204829894282
BBP_5_2.0_2.0,0.02140207092487714
CFO_9,0.02138094739210055
LOGRET_1,0.020139856580480144
BOP,0.018492896443116257
PVR,0.01731317488773771
DEC_1,0.014719253254480116
SMCbf_14_50_20_5,0.013241507632174325
THERMOs_20_2_0.5,0.012359051501399957
SMCtf_14_50_20_5,0.011586585089496372
BULLP_13,0.010831511043069508
AROONU_14,0.010697610527984128
STOCHh_14_3_3,0.010197176958508738
BEARP_13,0.008948113339483452
INC_1,0.008935306249268605
PVI,0.007160008409724804
RVI_14,0.007131581131426429
STOCHFk_14_3,0.006637249374182221
DMN_14,0.006535541410480254
AROOND_14,0.005567611017567343
DMP_14,0.0055452538983580225
QS_10,0.0053823732243561285
WILLR_14,0.005247118541968074
PGO_14,0.005221480986312664
ZS_30,0.005051206599256696
PDIST,0.004965706922796728
TRUERANGE_1,0.004934969656749466
CHOP_14_1_100.0,0.0048750302164589174
J_9_3,0.004783835082597526
PVOs_12_26_9,0.004685055295819497
PVOh_12_26_9,0.004642085955752329
PVO_12_26_9,0.004576208692517432
CG_10,0.004556806203196876
ADOSC_3_10,0.004433941933861441
AR_26,0.004401310371003009
SMIo_5_20_5_1.0,0.004342018950460021
PVOL,0.004323558961060108
Volume,0.004275457434888191
UO_7_14_28,0.004231132229424882
VTXM_14,0.004215515137398319
KVO_34_55_13,0.004184867682226291
ADX_14,0.004180096081484993
MFI_14,0.0041627672543146236
FISHERTs_9_1,0.004160215487767263
BBB_5_2.0_2.0,0.004138151057718886
KVOs_34_55_13,0.004138074591982679
TSVr_18_10,0.004118453902034455
RVGI_14_4,0.004107103820725589
DPO_20,0.004106626808183679
STOCHFd_14_3,0.004072670701348068
CTI_12,0.004046078293765046
VHF_28,0.004041506692957702
EFI_13,0.0039599848728100635
RSI_14,0.003931760446917772
THERMOma_20_2_0.5,0.00391199568293043
TMO_14_5_3,0.0038937645206580714
K_9_3,0.003887768014096508
RWIl_14,0.0038737946765629782
D_9_3,0.003847528061379681
RVGIs_14_4,0.0038404961031832173
CMF_20,0.003811249446934295
VHM_610,0.00380503632112482
STOCHk_14_3_3,0.0037428760182320916
