,MLP,LSTM,BuyAndHold
2015-05-29,1.0017404982312568,0.9982595017687432,1.0
2015-06-01,1.0025401885477543,0.999056413202718,1.0017404982312568
2015-06-02,0.9997131830228023,0.9962392313758687,1.0009408079147593
2015-06-03,0.9916547527303455,1.00426965903951,1.0037633034380797
2015-06-04,0.9938567698154598,1.0064996881309636,0.9956722261688733
2015-06-05,0.999974563360771,1.0126953065363689,0.9934612880907155
2015-06-08,1.0003080251039236,1.013033010268617,0.9873459289762162
2015-06-09,0.9884371018033302,1.001011076160252,0.9870166785066198
2015-06-10,0.9917891621305424,0.9976163740498446,0.9987298698366015
2015-06-11,0.9842470619139644,1.0052027875317384,1.002116835752969
2015-06-12,0.9801500835053055,1.0093869952131238,0.9944961983306635
2015-06-15,0.9747030032334104,1.003777433901177,0.9903565573708715
2015-06-16,0.97336775427841,1.0024023557848447,0.995860359040208
2015-06-17,0.983147758822251,0.9923306233371222,0.9972245915287953
2015-06-18,0.9773165105456151,0.9982163370411533,1.0072442999005933
2015-06-19,0.9842956522713007,0.991087946991531,1.0012701301633986
2015-06-22,0.9847548376756629,0.9906255929024443,1.0084203277388029
2015-06-23,0.9724034929539916,1.0030505719123752,1.008890767585704
2015-06-24,0.9754798389900219,1.0062238746341359,0.9962366965619203
2015-06-25,0.97520260717425,1.0059379053493922,0.9930849505690033
2015-06-26,0.9957069496199761,1.027088479741504,0.9933671857655267
2015-06-29,0.9933468573015954,1.0246540047865385,0.9724809198742747
2015-06-30,0.9855811153412515,1.016643511230017,0.9747859602776212
2015-07-01,0.9844012873238411,1.0178605236905816,0.9824065976999267
2015-07-02,0.981805651283341,1.0205443839145723,0.981230569861717
2015-07-06,0.9757648655840918,1.0142652492286577,0.9786432942618469
2015-07-07,0.9593093737397421,1.0313700191638804,0.9846646228302003
2015-07-08,0.957584535634705,1.029515616029559,0.9680590437179591
2015-07-09,0.9698004715490846,1.0163820530695702,0.9697996137282587
2015-07-10,0.9804836657436561,1.0051857223114757,0.9821713777764762
2015-07-13,0.9845711659963502,1.0009952426150737,0.9929908482438145
2015-07-14,0.9841995686211097,1.0013730387740822,0.9971304892036065
2015-07-15,0.9919100546887091,0.9935280110885341,0.9967541516818942
2015-07-16,0.9929783528456805,0.9924579703745315,1.0045629937545772
2015-07-17,0.9933499502209211,0.9920865677394479,1.0056449192675982
2015-07-20,0.9894947071871214,0.9959369075198579,1.0060212567893105
2015-07-21,0.9875902972171205,0.9978537163338882,1.002116835752969
2015-07-22,0.99293185887693,1.0032507895618117,1.0001881328713347
2015-07-23,1.0033556065766391,1.013782864866309,0.994778433527187
2015-07-24,1.009397291416255,1.0198873372240436,0.9843353005815609
2015-07-27,0.9968277677891654,1.0071871862614623,0.9784081461174393
2015-07-28,0.9901531985477677,1.0004432523232452,0.990591777294322
2015-07-29,0.9904801142780492,1.000112939158658,0.9972245915287953
2015-07-30,0.9890788737781442,1.0015278072964697,0.9975538419983917
2015-07-31,0.9857159250863933,1.0049330833756505,0.9961425942367315
2015-08-03,0.9836608531259254,1.0070282202697924,0.9927556283203639
2015-08-04,0.9799709887038931,1.003250701229416,0.9906858796195108
2015-08-05,0.9720900686273869,1.0113188365969181,0.9944020960054747
2015-08-06,0.9697257430882826,1.0137785746713124,0.986405121061457
2015-08-07,0.9574407149437827,1.0009354606146876,0.9840059783329217
2015-08-10,0.9660736529411761,1.0099605768814284,0.9964719164853707
2015-08-11,0.9669940596868446,1.0089983577742299,0.987487046574478
2015-08-12,0.9679604621919099,1.0100067388814267,0.9884278544892372
2015-08-13,0.97128061226676,1.0065423680928691,0.987440031301405
2015-08-14,0.9655626307535438,1.000616798715352,0.9908269972177726
2015-08-17,0.962828271232075,1.0034504275072758,0.9966600493567055
2015-08-18,0.9550808149454507,1.0115247524468196,0.9938376256124277
2015-08-19,0.9753610131449639,1.03300348193476,0.9858406506684101
2015-08-20,1.0053655263967125,1.0647812198647126,0.9649072977250422
2015-08-21,1.047287328953356,1.1091805421939496,0.9352243665732749
2015-08-24,1.059600625810214,1.1222215376364648,0.8962273150410185
2015-08-25,1.1012462504891154,1.0781147149104477,0.8856900797702038
2015-08-26,1.1283160009910174,1.0516135610294761,0.9205004750695952
2015-08-27,1.1282596681145078,1.0516660644210944,0.9431273109711468
2015-08-28,1.1185236124132425,1.0607411733447745,0.9430802239190309
2015-08-31,1.084644281970092,1.092870312441684,0.9349421313767514
2015-09-01,1.0632024091020473,1.0712658226654856,0.9066233609345287
2015-09-02,1.062282704756257,1.0703391432071176,0.9245460137041984
2015-09-03,1.0458119336680889,1.0869348299631356,0.9253457757997388
2015-09-04,1.018756723796244,1.0588157685956414,0.9109982218177712
2015-09-08,1.0046037918619077,1.0735252150747727,0.9345657938550392
