,variance
PSL_12,0.027689801246066452
SMCbp_14_50_20_5,0.026510599382887592
RVGI_14_4,0.026471002684499857
CMF_20,0.02629237550516406
QQE_14_5_4.236,0.02540935708583799
RWIh_14,0.025304840650678867
VHF_28,0.025083144888542176
VTXP_14,0.024581447870913913
ZS_30,0.024409898891107163
RWIl_14,0.023978038379624155
STOCHh_14_3_3,0.023262271450064716
ABER_ATR_5_15,0.022431980945118026
SMCtp_14_50_20_5,0.022333320808063117
TRIXs_30_9,0.022138022336693784
TRIX_30_9,0.021888569523849093
ATRr_14,0.02160822026203551
DMP_14,0.02025788636131129
FISHERTs_9_1,0.019281509517596652
RVI_14,0.019263106815939998
FISHERT_9_1,0.019240939128067076
KVOs_34_55_13,0.01921134329718978
RSI_14,0.01821742307380212
CMO_14,0.018217423073802117
DMN_14,0.018083938232166228
FAMA_0.5_0.05,0.01779469620017577
THERMOma_20_2_0.5,0.017769675631188468
QQE_14_5_4.236_RSIMA,0.017635870720116176
AR_26,0.017108973395115773
PVOs_12_26_9,0.016669439963650765
VIDYA_14,0.016309581294221543
CCI_14_0.015,0.015488262144462348
TRENDFLEX_20_20_0.04,0.014999352810814177
HWW_1,0.014960103296118037
ZIGZAGd_5.0%_10,0.014860030833243987
BR_26,0.014534404768326722
PVO_12_26_9,0.013848695723842896
KVO_34_55_13,0.013780617911178976
SMIo_5_20_5_1.0,0.012740229083744191
MACDs_12_26_9,0.012425177575280175
PGO_14,0.012226779031560947
ADXR_14_2,0.012216187892591627
ADX_14,0.012195724634441577
STDEV_30,0.011577383726106906
MAD_30,0.010944895381917228
KSTs_9,0.010591945830336
MASSI_9_25,0.010580623326024559
SKEW_30,0.010492801835200202
APO_12_26,0.010357316378221133
MACD_12_26_9,0.010157294672158017
STCmacd_10_12_26_0.5,0.010157294672158017
KST_10_15_20_30_10_10_10_15,0.010054094082119418
UI_14,0.009534416218086341
PVOh_12_26_9,0.009273894435240624
MACDh_12_26_9,0.00926777625001324
SQZ_20_2.0_20_1.5,0.009195833848456084
SQZPRO_20_2.0_20_2.0_1.5_1.0,0.009195833848456084
THERMO_20_2_0.5,0.008826367177254924
AO_5_34,0.008799366992637019
PPOs_12_26_9,0.007999020563206652
QS_10,0.007823117733970592
SMCbi_14_50_20_5,0.007668452397555097
TSVs_18_10,0.007369445862163719
PPO_12_26_9,0.007307028713227726
TRUERANGE_1,0.007295175822496258
BULLP_13,0.007202807052972498
Volume,0.007096913985061977
COPC_11_14_10,0.006891679123983332
VHM_610,0.0065746222874955166
PPOh_12_26_9,0.006537424516390395
NATR_14,0.006534105476763837
MOM_10,0.006526913941674235
BEARP_13,0.006502154191012285
PDIST,0.006343864847901891
TSV_18_10,0.006235269813372169
