,variance
RVGI_14_4,0.029544311032305887
UO_7_14_28,0.028912774949552106
QQE_14_5_4.236,0.02824956487477395
CMF_20,0.026982090637313667
VTXM_14,0.026543372854602974
DMP_14,0.02638210282697111
VHF_28,0.025966902324270583
HWW_1,0.02493521524490301
THERMOma_20_2_0.5,0.024839168709828035
SMCtp_14_50_20_5,0.024347598164779015
PVIe_255,0.023666891377851974
PVOs_12_26_9,0.02308923891134236
ABER_ATR_5_15,0.02235002631109156
FISHERTs_9_1,0.02196086740936174
FISHERT_9_1,0.02193477641567496
CHOP_14_1_100.0,0.021890976220828473
AR_26,0.0212250985669783
STOCHh_14_3_3,0.021182481511536035
ATRr_14,0.021167211490732914
RWIh_14,0.021128553049831047
KVOs_34_55_13,0.020511869591504608
RVI_14,0.019300782979223087
STDEV_30,0.0191913962442868
TRIXs_30_9,0.0188060215148798
RWIl_14,0.018769739507839927
PVO_12_26_9,0.018607402045591383
MAD_30,0.01844424937012858
TRIX_30_9,0.018316758967385598
MASSI_9_25,0.018028889527042596
QQE_14_5_4.236_RSIMA,0.017948650206953954
RSI_14,0.017945705112938123
CMO_14,0.01794570511293812
KVO_34_55_13,0.017063577531596874
SMIo_5_20_5_1.0,0.014398055984121005
BR_26,0.014221572808512365
SKEW_30,0.013619847249959944
VTXP_14,0.01347133261821807
PGO_14,0.01313510086324005
MACDs_12_26_9,0.013095307506772177
TRENDFLEX_20_20_0.04,0.012381146037772999
PVOh_12_26_9,0.011681689965764479
KSTs_9,0.011591064618835691
CCI_14_0.015,0.011383580580034348
KST_10_15_20_30_10_10_10_15,0.011115828240868764
MACD_12_26_9,0.01095876263164124
STCmacd_10_12_26_0.5,0.01095876263164124
UI_14,0.01029832048218739
DMN_14,0.009526885705487419
AO_5_34,0.009371154011676867
APO_12_26,0.009221387848356292
QS_10,0.008992423980290331
MACDh_12_26_9,0.00861060904152798
SQZPRO_20_2.0_20_2.0_1.5_1.0,0.008327054750620493
SQZ_20_2.0_20_1.5,0.008327054750620493
VAR_30,0.008313788183780499
PPOs_12_26_9,0.008265072643424421
BULLP_13,0.007853142568959111
ADOSC_3_10,0.007842373596702255
NATR_14,0.007748128509730656
COPC_11_14_10,0.007515635598885411
PPO_12_26_9,0.007125155933705287
BBB_5_2.0_2.0,0.006943646811516774
EOM_14_100000000,0.006717611618969205
ENTP_10,0.006604671525416236
Volume,0.006390588313245769
BIAS_SMA_26,0.006245049022749198
CG_10,0.006242402805986764
VHM_610,0.006224005069047067
MOM_10,0.006117214034992704
PPOh_12_26_9,0.006065274171680805
TSVs_18_10,0.005924598974145979
BEARP_13,0.005283327998552843
DPO_20,0.005228602668560213
KURT_30,0.005205277016113593
TRUERANGE_1,0.005138623942641441
ROC_10,0.005125391304027444
SMCbi_14_50_20_5,0.005076243835061184
