model,total_return,annual_return,annual_vol,sharpe,max_drawdown,hit_rate,n_days
MLP,7.848203943493328,0.2313503140628419,0.2471076578922266,0.9362328793701039,-0.29698164840371266,0.5132575757575758,2640
LSTM,28.83446267587883,0.38282925039901916,0.24655174183943732,1.5527339111168408,-0.3540626568072295,0.5348484848484848,2640
BuyAndHold,0.6273996122556493,0.04760058774030096,0.24756185985693518,0.19227754940849576,-0.5787843535974797,0.5168624478969307,2639
